filename,meeting_id,needs_ocr,reason
2019-05-01 Council Meeting Approved Minutes.pdf,234,False,Review item 1279: weak or fallback extraction.
2019-05-01 Council Meeting Approved Minutes.pdf,234,False,Review item 1280: weak or fallback extraction.
2019-05-01 Council Meeting Approved Minutes.pdf,234,False,Review item 1281: weak or fallback extraction.
2019-05-15 Council Meeting Approved Minutes.pdf,235,False,Review item 1282: weak or fallback extraction.
2019-05-15 Council Meeting Approved Minutes.pdf,235,False,Review item 1283: weak or fallback extraction.
2019-05-15 Council Meeting Approved Minutes.pdf,235,False,Review item 1284: weak or fallback extraction.
2019-05-15 Council Meeting Approved Minutes.pdf,235,False,Review item 1285: weak or fallback extraction.
2019-06-05 Council Meeting Approved Minutes.pdf,236,False,Review item 1286: weak or fallback extraction.
2019-06-05 Council Meeting Approved Minutes.pdf,236,False,Review item 1287: weak or fallback extraction.
2019-06-05 Council Meeting Approved Minutes.pdf,236,False,Review item 1288: weak or fallback extraction.
2019-06-05 Council Meeting Approved Minutes.pdf,236,False,Review item 1289: weak or fallback extraction.
2019-06-05 Council Meeting Approved Minutes.pdf,236,False,Review item 1290: weak or fallback extraction.
2019-06-26 Council Meeting Approved Minutes.pdf,237,False,Review item 1291: weak or fallback extraction.
2019-06-26 Council Meeting Approved Minutes.pdf,237,False,Review item 1292: weak or fallback extraction.
2019-06-26 Council Meeting Approved Minutes.pdf,237,False,Review item 1293: weak or fallback extraction.
2019-06-26 Council Meeting Approved Minutes.pdf,237,False,Review item 1294: weak or fallback extraction.
2019-06-26 Council Meeting Approved Minutes.pdf,237,False,Review item 1297: weak or fallback extraction.
2019-07-10 Council Meeting Approved Minutes.pdf,238,False,Review item 1298: weak or fallback extraction.
2019-07-10 Council Meeting Approved Minutes.pdf,238,False,Review item 1299: weak or fallback extraction.
2019-07-10 Council Meeting Approved Minutes.pdf,238,False,Review item 1300: weak or fallback extraction.
2019-07-10 Council Meeting Approved Minutes.pdf,238,False,Review item 1301: weak or fallback extraction.
2019-07-10 Council Meeting Approved Minutes.pdf,238,False,Review item 1302: weak or fallback extraction.
2019-07-10 Council Meeting Approved Minutes.pdf,238,False,Review item 1303: weak or fallback extraction.
2019-07-10 Council Meeting Approved Minutes.pdf,238,False,Review item 1304: weak or fallback extraction.
2019-07-10 Council Meeting Approved Minutes.pdf,238,False,Review item 1305: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1306: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1307: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1308: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1309: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1310: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1311: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1312: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1313: weak or fallback extraction.
2019-07-24 Council Meeting Approved Minutes.pdf,239,False,Review item 1314: weak or fallback extraction.
